metric,iteration,pole,mean,std,n
levenshtein,2840,eval_exact_match,0.981667,0.006236,3
levenshtein,2850,eval_exact_match,0.983333,0.009428,3
levenshtein,2860,eval_exact_match,0.986667,0.006236,3
levenshtein,2870,eval_exact_match,0.986667,0.008498,3
levenshtein,2880,eval_exact_match,0.988333,0.002357,3
levenshtein,2890,eval_exact_match,0.981667,0.004714,3
levenshtein,2900,eval_exact_match,0.983333,0.006236,3
levenshtein,2910,eval_exact_match,0.988333,0.009428,3
levenshtein,2920,eval_exact_match,0.983333,0.006236,3
levenshtein,2930,eval_exact_match,0.985,0.0,3
levenshtein,2940,eval_exact_match,0.985,0.007071,3
levenshtein,2950,eval_exact_match,0.983333,0.002357,3
levenshtein,2960,eval_exact_match,0.986667,0.006236,3
levenshtein,2970,eval_exact_match,0.988333,0.004714,3
levenshtein,2980,eval_exact_match,0.99,0.007071,3
levenshtein,2990,eval_exact_match,0.99,0.004082,3
levenshtein,0,eval_content_f1,0.956667,0.002867,3
levenshtein,10,eval_content_f1,0.950833,0.014659,3
levenshtein,20,eval_content_f1,0.954833,0.003704,3
levenshtein,30,eval_content_f1,0.961,0.00255,3
levenshtein,40,eval_content_f1,0.960667,0.004905,3
levenshtein,50,eval_content_f1,0.9655,0.002677,3
levenshtein,60,eval_content_f1,0.968167,0.000624,3
levenshtein,70,eval_content_f1,0.965,0.003559,3
levenshtein,80,eval_content_f1,0.967,0.003536,3
levenshtein,90,eval_content_f1,0.9725,0.005672,3
levenshtein,100,eval_content_f1,0.9715,0.007483,3
levenshtein,110,eval_content_f1,0.968667,0.001546,3
levenshtein,120,eval_content_f1,0.970667,0.003704,3
levenshtein,130,eval_content_f1,0.9745,0.003559,3
levenshtein,140,eval_content_f1,0.9755,0.001414,3
levenshtein,150,eval_content_f1,0.974667,0.00085,3
levenshtein,160,eval_content_f1,0.976167,0.000471,3
levenshtein,170,eval_content_f1,0.976833,0.001841,3
levenshtein,180,eval_content_f1,0.976667,0.001929,3
levenshtein,190,eval_content_f1,0.973167,0.004478,3
levenshtein,200,eval_content_f1,0.975167,0.003659,3
levenshtein,210,eval_content_f1,0.972167,0.004497,3
levenshtein,220,eval_content_f1,0.974,0.002944,3
levenshtein,230,eval_content_f1,0.975833,0.003325,3
levenshtein,240,eval_content_f1,0.969667,0.001027,3
levenshtein,250,eval_content_f1,0.972833,0.003424,3
levenshtein,260,eval_content_f1,0.9755,0.005212,3
levenshtein,270,eval_content_f1,0.9735,0.003189,3
levenshtein,280,eval_content_f1,0.9745,0.002273,3
levenshtein,290,eval_content_f1,0.974,0.003488,3
levenshtein,300,eval_content_f1,0.976333,0.004589,3
levenshtein,310,eval_content_f1,0.98,0.00108,3
levenshtein,320,eval_content_f1,0.978833,0.00165,3
